new_id,property_type,HostEmail,name,description,picture_url,neighbourhood,latitude,longitude,room_type,bathrooms_text,bedrooms,beds,accommodates,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location
1,Entire rental unit,Rosalie1@gmail.com,Scandinavian design appartement+garden near centre,"Warm spacious  (>136m2) and cosy Scandinavian design 2-floor 2-bedroom groundfloor loftlike family-apartment in popular Oud-West. Nearby citycentre & Jordaan. With porch and large garden. Overlooking park. Including friendly housecat.<br /><br /><b>The space</b><br />Brand new light and spacious apartment (>136m2) with wonderful atmosphere. Huge loftlike living with nice details. Large bathroom and 2 nice bedrooms, with 2doublebeds and one sofabed.<br /><br /><b>Guest access</b><br />One small room is closed.<br /><br /><b>Other things to note</b><br />Friendly housecat needs food&water in morning and evening. Mostly outside living<br /><br /><b>License number</b><br />0363 FBAE 3B78 9751 392B",https://a0.muscache.com/pictures/6cd997e9-187c-4fad-af54-805f2f339182.jpg,"Amsterdam, Noord-Holland, Netherlands",52.37268,4.87033,Entire home/apt,1 bath,2,3,5,"[""Hangers"", ""Washer"", ""Cable TV"", ""Private entrance"", ""TV with standard cable"", ""Fire extinguisher"", ""Dryer"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Heating"", ""Smoke alarm""]",179,3,13,4.75,5,4.75,5
2,Entire condominium (condo),Evgeny2@gmail.com,Modern Two Room Condo with a Rooftop view,"A modern, yet cozy apartment on the top floor in an up and coming Amsterdam Noord neighbourhood. The bus stop is 2 min walking distance on the corner of the house. City centre can be reached within about 15 minutes by public transport.<br /><br />This is a SMART home with Voice Assistant, remote controlled lights, and wireless connected speakers.<br /><br />You are welcome to use the massive 65"" OLED TV,  BOSE Chromecast sound system (speakers in every room), Turntable, and PlayStation 4 with many different games<br /><br /><b>The space</b><br />It is cozy two room apartment of 40m2 with an open kitchen and a separate bedroom. It is the first home that is fully mine, so I tried to make it my own as nice as I can.<br /><br />Keep in mind that the apartment is located on the 3rd floor and there is no elevator.<br /><br /><b>Guest access</b><br />You can access all the areas seen in pictures. Feel free to use all the facilities.<br /><br /><b>Other things to note</b><br />Fire blanket is ",https://a0.muscache.com/pictures/miso/Hosting-27616092/original/b000320c-a3e7-4a99-b1f1-2116c278fe43.jpeg,"Amsterdam, Noord-Holland, Netherlands",52.40066,4.91313,Entire home/apt,1 bath,1,1,2,"[""Stove"", ""Carbon monoxide alarm"", ""Free washer \u2013 In unit"", ""Shampoo"", ""Free parking on premises"", ""Hot water"", ""Kitchen"", ""bikes"", ""Hair dryer"", ""Extra pillows and blankets"", ""Cleaning products"", ""Heating"", ""Outdoor furniture"", ""Lockbox"", ""Bed linens"", ""Cooking basics"", ""Freezer"", ""Record player"", ""Board games"", ""Wine glasses"", ""Free street parking"", ""Baking sheet"", ""Fire extinguisher"", ""Dishwasher"", ""Free dryer \u2013 In unit"", ""Toaster"", ""Essentials"", ""Iron"", ""Room-darkening shades"", ""65\"" HDTV with Chromecast, Netflix"", ""Smoke alarm"", ""Wifi \u2013 300 Mbps"", ""Paid parking on premises"", ""Oven"", ""Drying rack for clothing"", ""Hangers"", ""Dedicated workspace"", ""Outdoor dining area"", ""Game console: PS3 and PS4"", ""Microwave"", ""EV charger"", ""Body soap"", ""Coffee maker"", ""Refrigerator"", ""Ethernet connection"", ""BOSE sound system with Bluetooth and aux"", ""Dishes and silverware"", ""Rice maker"", ""Single level home"", ""Conditioner"", ""Shower gel"", ""Hot water kettle"", ""Dining table"", ""Patio or balcony""]",116,3,10,4.77,4.77,4.92,4.85
3,Entire rental unit,Jurney3@gmail.com,Luxurious 2 bedroom apartment in Amsterdam West,"Private Luxurious appartment in the vivid Amsterdam West area de Baarsjes. The appartment is recently renovated and is fully equipped. There is a modern living kitchen, living room with comfy couch and bathroom with rain shower and bath. The area is lively with nice local bars, retaurants and stores just around the corner. Within 5 minutes distance from the popular Oud-west area and 10 minutes from the Jordaan and canals.<br /><br /><b>The space</b><br />The apartment is on the first floor of the building and has 1 living kitchen, 1 living room, 1 bathroom, seperate toilet and 2 bedrooms. The apartment is fully private, as I won’t be staying. The appartment has a small french balcony on the street side with morning sun and a larger balcony on the garden side with afternoon sun.<br /><br /><b>Guest access</b><br />The apartment itself is fully private. The staircase is shared with 2 neighbors",https://a0.muscache.com/pictures/30bf1b3b-cbf2-42fd-b5ba-0429c724ee68.jpg,"Amsterdam, NH, Netherlands",52.37316,4.85771,Entire home/apt,1.5 baths,2,2,4,"[""Stove"", ""Shampoo"", ""Hot water"", ""Wifi"", ""Kitchen"", ""Hair dryer"", ""Heating"", ""Cooking basics"", ""Dryer"", ""Long term stays allowed"", ""Essentials"", ""Iron"", ""Hangers"", ""Dedicated workspace"", ""TV with standard cable"", ""Coffee maker"", ""Refrigerator"", ""Host greets you"", ""Washer"", ""Cable TV"", ""Patio or balcony""]",250,2,1125,4.79,4.71,4.86,4.86
4,Entire condominium (condo),Marleen4@gmail.com,Spacious apartment on walking distance to centre!,"We offer a sunny two-floor apartment (120m2) with rooftop terrace in popular Oud-West, with a sweet cat to keep you company!  The neighborhood offers everything you want on a city trip: nice shops, cafés, restaurants, a market and the Vondelpark. Perfect for families!",https://a0.muscache.com/pictures/4b53e3fb-621a-4b70-9c65-68b8318164e5.jpg,"Amsterdam, Noord-Holland, Netherlands",52.36121,4.86542,Entire home/apt,1 bath,3,0,4,"[""Stove"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hot water"", ""Wifi"", ""Kitchen"", ""Hair dryer"", ""Extra pillows and blankets"", ""Heating"", ""Bed linens"", ""Cooking basics"", ""Bathtub"", ""Fire extinguisher"", ""Dryer"", ""Dishwasher"", ""Essentials"", ""Iron"", ""Smoke alarm"", ""Oven"", ""Paid parking off premises"", ""Hangers"", ""Dedicated workspace"", ""TV with standard cable"", ""Microwave"", ""Coffee maker"", ""First aid kit"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""BBQ grill"", ""Washer"", ""Cable TV"", ""Indoor fireplace"", ""Patio or balcony""]",120,7,21,4.8,4.8,4.6,5
5,Entire rental unit,Aafje5@gmail.com,nice apartment in centre amsterdam,"<b>The space</b><br />This beautiful apartment has a spacious living and cosy dining room, kitchen with all the facilities you need, separate bedroom and bathroom with shower and bathtub. There are two balcony's, one on the south side so there's always sun. <br />The house is located next to the famous Vondelpark, in a quiet street in a cosy neighbourhood with a variety of shops and restaurants. The area is on walking distance from the city centre and there are many public transport facilities.<br />There is no longer a cat to be taken care of (if you read my reviews).",https://a0.muscache.com/pictures/10553335/64dc1cd3_original.jpg,"Amsterdam, Noord-Holland, Netherlands",52.3583,4.85909,Entire home/apt,1 bath,1,1,2,"[""Washer"", ""Dedicated workspace"", ""Private entrance"", ""Long term stays allowed"", ""Wifi"", ""Kitchen"", ""Heating"", ""Essentials"", ""Iron"", ""Hot tub""]",125,4,760,4.88,4.94,4.65,4.88
6,Entire rental unit,Jurjen6@gmail.com,Appartement with garden city center,"80 m2 renovated and well designed appartment with beautiful and quiet  big garden in one of the most popular boroughs of Amsterdam. With two bedrooms - one with a kingsize double bed and one with a bunk bed - perfect for couples with or without kids. Near the RAI and RAI train station.<br /><br /><b>The space</b><br />Great appartement in center of Amsterdam ( De Pijp - Zuid), near parks musea and markets.<br /><br /><b>Guest access</b><br />Use of house and garden and 2 bikes.<br /><br /><b>License number</b><br />0363 E436 2286 DD01 0614",https://a0.muscache.com/pictures/2c9a37e7-4ecc-478f-a4f1-1cd278a25c80.jpg,"Amsterdam, Noord-Holland, Netherlands",52.34947,4.89349,Entire home/apt,1.5 baths,2,3,4,"[""Stove"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hot water"", ""Wifi"", ""Kitchen"", ""Hair dryer"", ""Extra pillows and blankets"", ""Lockbox"", ""Heating"", ""Bed linens"", ""Cooking basics"", ""Dryer"", ""Dishwasher"", ""Long term stays allowed"", ""Essentials"", ""Iron"", ""Smoke alarm"", ""Oven"", ""Paid parking off premises"", ""Hangers"", ""Dedicated workspace"", ""TV with standard cable"", ""Microwave"", ""Coffee maker"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Fireplace guards"", ""Dishes and silverware"", ""Washer"", ""Backyard"", ""Cable TV"", ""Private entrance"", ""Shower gel"", ""Indoor fireplace"", ""Hot water kettle""]",111,3,28,5,4.86,4.78,4.91
7,Entire rental unit,Ekaterina7@gmail.com,15 min to the center of Amsterdam,"We rent out our apartment for the duration of our holidays. It is 45m2, furnished, trendy neighborhood,  good connection, and a cat who might stay at home.<br /><br /><b>The space</b><br />This apartment is 45 square meters and part of an old Amsterdam building. It is located in the East, on the border with the Center. It has a living room, kitchen, bedroom, small shower/toilet, balcony, and comes with all needed furnishing. This apartment is our permanent place of living, therefore you will have everything that you need for a stay - Internet, double bed, hot shower, washing machine, dishwasher, oven, various kitchen equipment, dishes, etc.<br /><br /><b>Guest access</b><br />The whole apartment is accessible, except for the personal belongings in the wardrobes. Most of white plastic wardrobes/boxes  with the personal belongings cannot be accessed. <br /><br />All kitchen/household equipment and dishes can be accessed. All bathroom cleaning supplies (shower gel, shampoo, etc.) can be u",https://a0.muscache.com/pictures/miso/Hosting-1201952/original/45eab683-9dcf-4d41-a969-2ea72bb800ec.jpeg,"Amsterdam, North Holland, Netherlands",52.36361,4.93741,Entire home/apt,1 bath,1,1,2,"[""Stove"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hot water"", ""Kitchen"", ""Cleaning products"", ""Heating"", ""Bed linens"", ""Cooking basics"", ""Dishwasher"", ""Long term stays allowed"", ""Essentials"", ""Iron"", ""Smoke alarm"", ""Oven"", ""Paid parking off premises"", ""Hangers"", ""Microwave"", ""Refrigerator"", ""Dishes and silverware"", ""Washer"", ""TV"", ""Patio or balcony""]",80,2,30,4.86,4.91,4.86,4.73
8,Private room in rental unit,Merel8@gmail.com,Double bedroom in shared house - Amsterdam,"Attractively located in the vibrant rivierenbuurt with a lot of restaurants, within close distance from Rai trainstation and Rai convention centre and just 3 miles from the museum square. Public transport links are within minutes walking distance and offer access to the center of the city, museum square and Amsterdam Central Train Station. By train, Schiphol Airport is within 30 minutes. The street is located in a quiet area.",https://a0.muscache.com/pictures/41eb608e-2a8d-4089-9ce0-dc03431f2057.jpg,"Amsterdam, Noord-Holland, Netherlands",52.34185,4.9005,Private room,1 bath,1,1,2,"[""Washer"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Shampoo"", ""Dryer"", ""Wifi"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Essentials"", ""Heating"", ""Iron"", ""Smoke alarm"", ""First aid kit""]",75,2,7,4.9,4.7,4.8,4.7
9,Entire rental unit,Julia9@gmail.com,Cozy Apartment Amsterdam near city center -BALCONY,"Enjoy Amsterdam to the fullest by staying in our 65m2 cozy appartment near the city center of Amsterdam. 10 minutes walking distance from Leidseplein and 15 minutes to the city center. It is basically located in the center of all the popular activities in Amsterdam like Anne Frank house, Damsquare, the red light district, flower market etc.<br /><br /><b>The space</b><br />The apartment is equipped with a full sized open kitchen. It has an oven, fridge, freezer, dishwasher and Nespresso coffee machine. <br /><br />The living room is spacious and modern, so you really feel at home! We also have a flatscreen TV with Netflix. Both beds are queen sized (160 cm) and one of the bedrooms is connected to a big balcony of 20m2 with lounge seats (not shown on the pictures). <br /><br />The bathroom is equipped with a comfortable shower and a washing and drying machine.",https://a0.muscache.com/pictures/0f25caf4-f831-4c34-a9ec-651f95db389e.jpg,"Amsterdam, Noord-Holland, Netherlands",52.36675,4.87216,Entire home/apt,1 bath,2,2,4,"[""Hangers"", ""Washer"", ""Shampoo"", ""Dryer"", ""Long term stays allowed"", ""Wifi"", ""Kitchen"", ""TV"", ""Essentials"", ""Heating"", ""Iron"", ""Smoke alarm""]",170,3,1125,4.88,5,4.88,4.63
10,Private room in condominium (condo),Patrick10@gmail.com,Clean comfi private studio in De Pijp central,"Beautiful and characteristic 2-room B&B studio with private bathroom, toilet and kitchenette on the second floor at the back side of an old Dutch building (1886) in vibrant neighbourhood 'De Pijp', central Amsterdam.<br /><br />RAI conference center can easily be reached within 15 minutes.<br /><br /><b>The space</b><br />The studio includes:<br />- a very comfortable king size bed (180 x 210 cm), including bed linen<br />- free wifi<br />- a table and two stools<br />- private bathroom with basin, shower and toilet<br />- towels, shower gel, hair dryer<br />- a flat screen television<br />- central heating<br />- kitchenette with microwave oven, fridge/freezer, toaster<br />- egg boiler/poacher, water cooker and all utensils<br />- hand wash and washing up liquid<br />- coffee sachets, various types of tea, chocolate milk sachets<br />- sugar, creamer, Natrena sweetner<br />- satellite channels; British, German, French, Spanish and Italian amongst others<br /><br />There are many poss",https://a0.muscache.com/pictures/miso/Hosting-21211980/original/156d5b1e-b472-4994-939e-a65d95d7232d.jpeg,"Amsterdam, Noord-Holland, Netherlands",52.35688,4.89885,Private room,1 private bath,1,1,2,"[""Laundromat nearby"", ""Carbon monoxide alarm"", ""Shampoo"", ""HDTV with premium cable"", ""Hot water"", ""Wifi"", ""Kitchen"", ""Hair dryer"", ""Extra pillows and blankets"", ""Lockbox"", ""Heating"", ""Bed linens"", ""Freezer"", ""Wine glasses"", ""Fire extinguisher"", ""Long term stays allowed"", ""Toaster"", ""Essentials"", ""Iron"", ""Smoke alarm"", ""Paid parking off premises"", ""Hangers"", ""Dedicated workspace"", ""Pour-over coffee"", ""Microwave"", ""Clothing storage: closet"", ""Body soap"", ""Coffee maker"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Security cameras on property"", ""Shower gel"", ""Lock on bedroom door"", ""Hot water kettle"", ""Dining table"", ""Portable fans""]",92,3,1125,4.94,4.97,4.98,4.94
