email,userName,first name,last name,password,birthday,user_since,host_since,host_location,about,responseTime,host_response_rate,host_is_superhost,img,host_identity_verified
Rosalie1@gmail.com,Rosalie1,Rosalie,Rosalie,12345678,1/1/1956,1/2/2013,1/2/2013,"Amsterdam, North Holland, The Netherlands",,a few days or more,75%,f,https://a0.muscache.com/im/users/4557482/profile_pic/1438434771/original.jpg?aki_policy=profile_x_medium,t
Evgeny2@gmail.com,Evgeny2,Evgeny,Evgeny,12345678,1/2/1956,9/16/2015,9/16/2015,"Amsterdam, North Holland, Netherlands",,a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/3aed4ad8-d6ae-444e-8366-6b003d090069.jpg?aki_policy=profile_x_medium,f
Jurney3@gmail.com,Jurney3,Jurney,Jurney,12345678,1/3/1956,3/24/2015,3/24/2015,"Amsterdam, North Holland, Netherlands",I am Bege a Norwegian living in Amsterdam travel-enthusiast music and food lover. Friendly and proffesional.  Looking forward to welcoming you here.,within a few hours,75%,t,https://a0.muscache.com/im/pictures/user/26157c10-987e-4607-b088-018ec46066d1.jpg?aki_policy=profile_x_medium,t
Marleen4@gmail.com,Marleen4,Marleen,Marleen,12345678,1/4/1956,5/8/2012,5/8/2012,"Amsterdam, Noord-Holland, The Netherlands",Ik ben een man van 33 single en woonachtig in Amsterdam. Ik ben eigenaar van een uitzendbureau in Amsterdam Centrum en Rotterdam. Ik hou van reizen sporten (golf hardlopen kickboxen). ,a few days or more,75%,f,https://a0.muscache.com/im/users/6508699/profile_pic/1406910585/original.jpg?aki_policy=profile_x_medium,t
Aafje5@gmail.com,Aafje5,Aafje,Aafje,12345678,1/5/1956,11/27/2011,11/27/2011,"Amsterdam, Noord-Holland, The Netherlands",,within an hour,100%,f,https://a0.muscache.com/im/users/1446698/profile_pic/1322417172/original.jpg?aki_policy=profile_x_medium,t
Jurjen6@gmail.com,Jurjen6,Jurjen,Jurjen,12345678,1/6/1956,5/18/2015,5/18/2015,"Amsterdam, North Holland, Netherlands", I'm 23 living in Amsterdam and finishing my master in Political Science.  I love to travel cook read drink wine have cultural nights out and take long hikes. Curious to discover more about what this world has to offer! ,a few days or more,100%,t,https://a0.muscache.com/im/pictures/user/d96cb7d0-b3ee-4970-b925-fe6f96827a76.jpg?aki_policy=profile_x_medium,f
Ekaterina7@gmail.com,Ekaterina7,Ekaterina,Ekaterina,12345678,1/7/1956,5/25/2013,5/25/2013,"Amsterdam, North Holland, The Netherlands",,a few days or more,100%,f,https://a0.muscache.com/im/pictures/user/e195643d-ef2f-4ab8-94ce-3f543dd13ecd.jpg?aki_policy=profile_x_medium,t
Merel8@gmail.com,Merel8,Merel,Merel,12345678,1/8/1956,11/21/2013,11/21/2013,"Culemborg, Gelderland, The Netherlands",,within an hour,75%,f,https://a0.muscache.com/im/users/13214024/profile_pic/1395052566/original.jpg?aki_policy=profile_x_medium,f
Julia9@gmail.com,Julia9,Julia,Julia,12345678,1/9/1956,7/27/2014,7/27/2014,"Eemnes, Utrecht, Netherlands","Hi Everyone

My name is Julien I am a world traveler just like you! I usally travel for work and vacation a lot and learned over the years Amsterdam definitely is a great city to have fun and live in and this is why I like it so much.  

 I love the city of Amsterdam because the city had so much to offer even though it is relatively small. I know the city by heart and know every little bar en restaurant in this city that it nice to experience the real Amsterdam life style. I would love to share this experience  with you and tell you places to go or help you what nice events this city has to offer. 

I",a few days or more,75%,f,https://a0.muscache.com/im/users/2418579/profile_pic/1444577138/original.jpg?aki_policy=profile_x_medium,t
Patrick10@gmail.com,Patrick10,Patrick,Patrick,12345678,1/10/1956,6/12/2013,6/12/2013,"Amsterdam, North Holland, Netherlands", ,within an hour,100%,t,https://a0.muscache.com/im/users/3970623/profile_pic/1419258980/original.jpg?aki_policy=profile_x_medium,t
Eline11@gmail.com,Eline11,Eline,Eline,12345678,1/11/1956,7/25/2017,7/25/2017,"Amsterdam, North Holland, Netherlands",,a few days or more,75%,f,https://a0.muscache.com/im/users/4209869/profile_pic/1378157312/original.jpg?aki_policy=profile_x_medium,f
Myrthe12@gmail.com,Myrthe12,Myrthe,Myrthe,12345678,1/12/1956,7/6/2014,7/6/2014,"Amsterdam, North Holland, The Netherlands",I'm an American who moved to Amsterdam to start my own business.  My boyfriend is Dutch and works as a consultant.  I love going on adventures exploring cities trying different foods building things and working out especially bikram yoga and cross-fit.  I'm excited to meet host guests and share my knowledge of Dutch culture!,a few days or more,100%,f,https://a0.muscache.com/im/users/3136773/profile_pic/1412773858/original.jpg?aki_policy=profile_x_medium,t
Nils13@gmail.com,Nils13,Nils,Nils,12345678,1/13/1956,6/15/2012,6/15/2012,"Amsterdam, Noord-Holland, The Netherlands",Friendly easy going love to help people out and ensure they have a great time! This is an extension to a family home so you will meet me or my (grown up)  daughter... we are very alike... we love people!,within an hour,75%,f,https://a0.muscache.com/im/users/20251406/profile_pic/1408441818/original.jpg?aki_policy=profile_x_medium,t
Daan14@gmail.com,Daan14,Daan,Daan,12345678,1/14/1956,6/3/2019,6/3/2019,"Amsterdam, North Holland, Netherlands",My name is EsmÈe. I'm a journalist from Amsterdam with a passion for travel. Connecting with different cultures strolling through exciting cities and hiking untouched mountain tops are among my top hobbies. I've been a host for friends I met during travels. Now it's time to open up my apartment for more visitors. I'm dedicated to help you have the best Amsterdam experience possible and share my love for the city. ,a few days or more,100%,f,https://a0.muscache.com/im/users/4203731/profile_pic/1354190543/original.jpg?aki_policy=profile_x_medium,f
Marit15@gmail.com,Marit15,Marit,Marit,12345678,1/15/1956,5/19/2019,5/19/2019,NL,,a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/82499af8-2412-40f7-a70b-3e178a11e057.jpg?aki_policy=profile_x_medium,t
Erik16@gmail.com,Erik16,Erik,Erik,12345678,1/16/1956,8/27/2018,8/27/2018,NL,,a few days or more,75%,t,https://a0.muscache.com/im/users/9988208/profile_pic/1413734998/original.jpg?aki_policy=profile_x_medium,f
Tom17@gmail.com,Tom17,Tom,Tom,12345678,1/17/1956,7/26/2016,7/26/2016,"Amsterdam, North Holland, Netherlands",,within an hour,100%,f,https://a0.muscache.com/im/pictures/user/e2839002-7c88-4035-8d69-345808f24995.jpg?aki_policy=profile_x_medium,f
Rob18@gmail.com,Rob18,Rob,Rob,12345678,1/18/1956,3/20/2014,3/20/2014,"Amsterdam, North Holland, The Netherlands",,a few days or more,75%,f,https://a0.muscache.com/im/users/9263305/profile_pic/1430903622/original.jpg?aki_policy=profile_x_medium,f
Madelijn19@gmail.com,Madelijn19,Madelijn,Madelijn,12345678,1/19/1956,7/19/2012,7/19/2012,Nederland,Hi I'm Corey. I have lived in the Netherlands for the last 20 years and in Amsterdam since 1 January 2014. I work at an International School and have made myself home here in Holland. The people and culture are warm and I'm sure you'll enjoy your stay here. I enjoy traveling guitargoing out with friends and sailing among other things and as you are reading this I am probably doing one of these things right now :) Feel free to contact me anytime.,a few days or more,75%,f,https://a0.muscache.com/im/users/2985908/profile_pic/1342684218/original.jpg?aki_policy=profile_x_medium,f
Janneke20@gmail.com,Janneke20,Janneke,Janneke,12345678,1/20/1956,1/31/2018,1/31/2018,"Amsterdam, North Holland, Netherlands",Mexican married with a Dutch professional in Tourism and happy traveller. Welcome to my house. Mi casa es su casa!.,within an hour,75%,f,https://a0.muscache.com/im/users/2181530/profile_pic/1421822372/original.jpg?aki_policy=profile_x_medium,t
